id,name,price,selling_price,brand_name,discount_rate,current_seller,short_url,image
201040328,Bình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml,371000,715000,LocknLock,48,Tiki Trading,https://tiki.vn/product-p201040328.html?spid=201040334,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/36/a7/3f/da54931887d612e7c2ff8dcaf1587a15.jpg
251966033,"Gối nằm WOWS The Ordinary Pillow Micro Fiber 70x40cm 75x45cm 80x50cm, 1 cái",676000,676000,WOWS,0,Comfort Bedding,https://tiki.vn/product-p251966033.html?spid=251966037,https://salt.tikicdn.com/cache/280x280/ts/product/e5/f2/dd/efbeeb7728383082a2a03e06cb374508.jpg
112520382,Thùng rác thông minh TOWNEW T1S ( WHITE) - Tự động đóng gói và thay túi rác - Bản Quốc Tế,2290000,3999000,Townew,43,VIETNAMROBOVAC Official Store,https://tiki.vn/product-p112520382.html?spid=112520383,https://salt.tikicdn.com/cache/280x280/ts/product/a6/c6/30/15f4ba14801de0f80e4728b8f48f9a90.png
76019086,LƯỚI CHE NẮNG DỆT KIM ĐÀI LOAN (3M X 4M) - TỶ LỆ CẮT NẮNG 60%~70%,255000,300000,OEM,15,LƯỚI CHE NẮNG DỆT KIM,https://tiki.vn/product-p76019086.html?spid=76019087,https://salt.tikicdn.com/cache/280x280/ts/product/25/73/1d/f5840f91cf550bfcb5b957242651654f.jpg
137863644,Thùng Rác Thông Minh Townew T1 Teal -Tự động hàn túi - Bản Quốc Tế,1901000,2599000,Townew,27,VIETNAMROBOVAC Official Store,https://tiki.vn/product-p137863644.html?spid=137863645,https://salt.tikicdn.com/cache/280x280/ts/product/75/38/ae/0af47c64bad2660f2cdc500926b807f6.png
161390400,Bộ Ga và Vỏ Gối Akemi Cotton Essential Embrace Charm gồm 5 món (King / Queen),1190000,1190000,Akemi,0,Akemi Official Stores,https://tiki.vn/product-p161390400.html?spid=161390403,https://salt.tikicdn.com/cache/280x280/ts/product/42/05/fd/0efa5a7c8d94b6e9b15e2591c478d7f5.jpg
48045630,5 Viên Pin Smartkey - Cmos Panasonic CR2032 - Hàng Chính Hãng,80000,100000,Panasonic,20,Thegioipin88,https://tiki.vn/product-p48045630.html?spid=48045631,https://salt.tikicdn.com/cache/280x280/ts/product/5a/56/f5/e3b92510e087e3a288facd63b36dfded.png
25186758,Nồi hấp 3 tầng,129300,129300,OEM,0,VinhQuang91,https://tiki.vn/product-p25186758.html?spid=202073631,https://salt.tikicdn.com/cache/280x280/ts/product/ed/bb/d4/88fce8e2bfe6f4b1a71c211e3862baa2.jpeg
57867023,Cây Lau Nhà Xoay 360 Độ Sunhouse Ks-Mo350I,164000,200000,Sunhouse,18,Tiki Trading,https://tiki.vn/product-p57867023.html?spid=57867025,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/dc/15/9a/13d2e0a0312d887e9b9482258c9e789d.jpg
169978766,"Túi hút chân không đựng quần áo, chăn ga gối , thú bông Deli - Loại dày cao cấp, nhiều hoạ tiết, bảo vệ quần áo, chăn ga khỏi ẩm, nấm mốc, chống nước tuyệt đối",19900,35820,Deli,44,Deli Official Store,https://tiki.vn/product-p169978766.html?spid=169978778,https://salt.tikicdn.com/cache/280x280/ts/product/e2/20/ae/ae39259f935e9564c2291b261c0f5dfa.jpg
